run_alias,position,layer,representation,seed,overlap_correctness_features,overlap_expected_overlap_null,overlap_fold_enrichment,overlap_hypergeom_p_greater,overlap_jaccard,overlap_overlap,overlap_overlap_coefficient,overlap_se_features,overlap_union
popqa_brief,tbg,20,sae_code_l20_tbg_16k,42,128,1.0,108.0,1.834535064318831e-235,0.7297297297297297,108,0.84375,128,148
popqa_brief,tbg,20,sae_code_l20_tbg_16k,43,128,1.0,108.0,1.834535064318831e-235,0.7297297297297297,108,0.84375,128,148
popqa_brief,tbg,20,sae_code_l20_tbg_16k,44,128,1.0,108.0,1.834535064318831e-235,0.7297297297297297,108,0.84375,128,148
popqa_brief,tbg,20,sae_code_l20_tbg_16k,45,128,1.0,62.0,6.987374696761147e-102,0.31958762886597936,62,0.484375,128,194
popqa_brief,tbg,20,sae_code_l20_tbg_16k,46,128,1.0,108.0,1.834535064318831e-235,0.7297297297297297,108,0.84375,128,148
triviaqa_brief,tbg,20,sae_code_l20_tbg_16k,42,32,0.25,116.0,1.2490549399271953e-59,0.22137404580152673,29,0.90625,128,131
triviaqa_brief,tbg,20,sae_code_l20_tbg_16k,43,32,0.25,116.0,1.2490549399271953e-59,0.22137404580152673,29,0.90625,128,131
triviaqa_brief,tbg,20,sae_code_l20_tbg_16k,44,32,0.25,116.0,1.2490549399271953e-59,0.22137404580152673,29,0.90625,128,131
triviaqa_brief,tbg,20,sae_code_l20_tbg_16k,45,32,0.25,116.0,1.2490549399271953e-59,0.22137404580152673,29,0.90625,128,131
triviaqa_brief,tbg,20,sae_code_l20_tbg_16k,46,32,0.25,116.0,1.2490549399271953e-59,0.22137404580152673,29,0.90625,128,131
triviaqa_long,tbg,20,sae_code_l20_tbg_16k,42,64,0.5,104.0,4.882685919227355e-103,0.37142857142857144,52,0.8125,128,140
triviaqa_long,tbg,20,sae_code_l20_tbg_16k,43,64,0.5,104.0,4.882685919227355e-103,0.37142857142857144,52,0.8125,128,140
triviaqa_long,tbg,20,sae_code_l20_tbg_16k,44,64,0.5,104.0,4.882685919227355e-103,0.37142857142857144,52,0.8125,128,140
triviaqa_long,tbg,20,sae_code_l20_tbg_16k,45,64,0.5,104.0,4.882685919227355e-103,0.37142857142857144,52,0.8125,128,140
triviaqa_long,tbg,20,sae_code_l20_tbg_16k,46,64,0.5,104.0,4.882685919227355e-103,0.37142857142857144,52,0.8125,128,140
