run,family,reference,candidate,delta_se_r2,delta_se_r2_ci_low,delta_se_r2_ci_high,delta_se_r2_bootstrap_valid,delta_correctness_auroc,delta_correctness_auroc_ci_low,delta_correctness_auroc_ci_high,delta_correctness_auroc_bootstrap_valid
triviaqa_brief,representation_comparison,dense,sae,-0.0319429908988433,-0.0517458248414596,-0.0117183322421824,1000,-0.0259275810622404,-0.0382707786058815,-0.0144183968413899,1000
triviaqa_brief,representation_comparison,dense,token_entropy,0.2339489619688649,0.2034757052517393,0.2624068648683176,1000,0.0542385584176483,0.0381625148081345,0.0724360491216191,1000
triviaqa_brief,conditional_increment,token_entropy,plus_sae,0.0170976413383192,0.0107137076463196,0.0235474156235478,1000,0.0020528862603256,-0.0036857534508605,0.0080911370464141,1000
triviaqa_brief,conditional_increment,token_entropy,plus_dense,0.0186761598314306,0.0088875947622785,0.0279299539980309,1000,0.0010241155947201,-0.0066815706016809,0.0080897934443779,1000
triviaqa_brief,conditional_representation_comparison,plus_dense,plus_sae,-0.0015785184931114,-0.008576042484659,0.0054374890699273,1000,0.0010287706656054,-0.004654393810632,0.0072807927906577,1000
popqa_brief,representation_comparison,dense,sae,-0.0179255287297392,-0.0268890660446164,-0.0082975678990546,1000,-0.0072458885270805,-0.0118478382366296,-0.0022467786864812,1000
popqa_brief,representation_comparison,dense,token_entropy,0.1097842575023356,0.0945960457366041,0.1259168037698604,1000,0.0055893103891864,-0.0017453519941204,0.0125067153041115,1000
popqa_brief,conditional_increment,token_entropy,plus_sae,0.0275406356728706,0.0217337050009638,0.0335860914018576,1000,0.0103093475170727,0.0052567947685409,0.0152890166629395,1000
popqa_brief,conditional_increment,token_entropy,plus_dense,0.0296991834677361,0.0235636531766339,0.0363908993694267,1000,0.0091075334779596,0.0040639792003844,0.0143633053038729,1000
popqa_brief,conditional_representation_comparison,plus_dense,plus_sae,-0.0021585477948654,-0.0057847277486337,0.0011762094437488,1000,0.0012018140391131,-0.002966541452337,0.0050487633175603,1000
triviaqa_long,representation_comparison,dense,sae,-0.0378714088308633,-0.0581318222262286,-0.0187688915453655,1000,-0.0173523592048416,-0.0279972344002263,-0.0068634155881705,1000
triviaqa_long,representation_comparison,dense,token_entropy,0.2488251418678715,0.2207273819222767,0.2793965034979629,1000,0.0582314550969759,0.0411733440337862,0.0763012522925202,1000
triviaqa_long,conditional_increment,token_entropy,plus_sae,0.0056185569993466,0.0006316903830478,0.0110901379800466,1000,0.0001584414202157,-0.0066019488325325,0.0061098081849495,1000
triviaqa_long,conditional_increment,token_entropy,plus_dense,0.0018542017693524,-0.0041296451859266,0.0083794449324564,1000,0.0026632672314115,-0.0014169465276273,0.0071969479191353,1000
triviaqa_long,conditional_representation_comparison,plus_dense,plus_sae,0.0037643552299941,-0.0023842482378618,0.0096081776916489,1000,-0.0025048258111958,-0.0091251141538724,0.0033214023620585,1000
