policy,budget,n,emitted,abstained,extra_generations,total_generations,expected_correct_answers,expected_accuracy,coverage,selective_accuracy,accuracy_per_extra_generation,correct_answers_per_generation,expected_accuracy_ci_low,expected_accuracy_ci_high,expected_accuracy_bootstrap_valid,coverage_ci_low,coverage_ci_high,coverage_bootstrap_valid,selective_accuracy_ci_low,selective_accuracy_ci_high,selective_accuracy_bootstrap_valid,accuracy_per_extra_generation_ci_low,accuracy_per_extra_generation_ci_high,accuracy_per_extra_generation_bootstrap_valid,correct_answers_per_generation_ci_low,correct_answers_per_generation_ci_high,correct_answers_per_generation_bootstrap_valid
never_resample,1,2221,2221,0,0,2221,1722.0,0.775326429536245,1.0,0.775326429536245,0.0,0.775326429536245,0.7582057631697433,0.7928860873480414,1000,1.0,1.0,1000,0.7582057631697433,0.7928860873480414,1000,0.0,0.0,1000,0.7582057631697433,0.7928860873480414,1000
always_resample,1,2221,2221,0,2221,4442,1496.0,0.6735704637550652,1.0,0.6735704637550652,-0.10175596578117965,0.3367852318775326,0.6541873030166592,0.6933926159387663,1000,1.0,1.0,1000,0.6541873030166592,0.6933926159387663,1000,-0.11796488068437641,-0.08643628995947772,1000,0.3270936515083296,0.34669630796938317,1000
correctness_trigger,1,2221,2221,0,871,3092,1622.0,0.7303016659162539,1.0,0.7303016659162539,-0.1148105625717566,0.5245795601552393,0.7127307519135524,0.7483115713642503,1000,1.0,1.0,1000,0.7127307519135524,0.7483115713642503,1000,-0.14489890176181322,-0.08370331554878048,1000,0.5063847447384724,0.5447096976429107,1000
token_entropy_trigger,1,2221,2221,0,1123,3344,1575.0,0.7091400270148581,1.0,0.7091400270148581,-0.13089937666963491,0.4709928229665072,0.6906798739306619,0.7276114362899595,1000,1.0,1.0,1000,0.6906798739306619,0.7276114362899595,1000,-0.15803686405734585,-0.10507310725513253,1000,0.45475782028434875,0.4878741705345897,1000
joint_high_se_error,1,2221,2221,0,814,3035,1624.0,0.7312021611886538,1.0,0.7312021611886538,-0.12039312039312039,0.5350906095551895,0.7136312471859523,0.74966231427285,1000,1.0,1.0,1000,0.7136312471859523,0.74966231427285,1000,-0.1515626764539808,-0.08807881773399016,1000,0.5163185378590078,0.5553009345326543,1000
joint_low_se_error_abstain,1,2221,2164,57,814,3035,1574.0,0.7086897793786583,0.9743358847366052,0.7273567467652495,-0.12039312039312039,0.5186161449752883,0.6906798739306619,0.7280504277352544,1000,0.9675821701936065,0.9806393516434039,1000,0.7090395684478302,0.7458335258780037,1000,-0.1515626764539808,-0.08807881773399016,1000,0.49983749612544287,0.5382355477779753,1000
never_resample,2,2221,2221,0,0,2221,1722.0,0.775326429536245,1.0,0.775326429536245,0.0,0.775326429536245,0.7582057631697433,0.7928860873480414,1000,1.0,1.0,1000,0.7582057631697433,0.7928860873480414,1000,0.0,0.0,1000,0.7582057631697433,0.7928860873480414,1000
always_resample,2,2221,2221,0,4442,6663,1496.5,0.6737955875731653,1.0,0.6737955875731653,-0.05076542098153985,0.22459852919105508,0.6562359297613688,0.6918167492120667,1000,1.0,1.0,1000,0.6562359297613688,0.6918167492120667,1000,-0.05774425934263845,-0.044687077892841064,1000,0.21874530992045624,0.2306055830706889,1000
correctness_trigger,2,2221,2221,0,1742,3963,1621.5,0.730076542098154,1.0,0.730076542098154,-0.057692307692307696,0.40915972747918244,0.712736380009005,0.7471972084646555,1000,1.0,1.0,1000,0.712736380009005,0.7471972084646555,1000,-0.06984260750651856,-0.04574870096783687,1000,0.3924080659751714,0.42695494323861094,1000
token_entropy_trigger,2,2221,2221,0,2246,4467,1571.5,0.7075641602881585,1.0,0.7075641602881585,-0.0670080142475512,0.3518021043205731,0.6902296262944619,0.7253545700135073,1000,1.0,1.0,1000,0.6902296262944619,0.7253545700135073,1000,-0.0784797746674608,-0.056223396330821955,1000,0.3383008963801288,0.365595680699836,1000
